License,Owner,Street,City,State,Zip,Lat,Lon
200161724,LOU'S BODEGA #1 LLC,2425 Exposition Blvd,Austin,TX,78703,30.297464,-97.767146
200099488,"Park Pizza 1, LLC",12115 Manchaca Rd,Austin,TX,78748,30.141734,-97.832653
200161724,LS PIZZA BAR LLC,2425 Exposition Blvd,Austin,TX,78703,30.297464,-97.767146
200161724,Lovebirds LLC,2425 Exposition Blvd,Austin,TX,78703,30.297464,-97.767146
200080727,"1/3 Third Co, LLC",1608 Barton Springs Rd,Austin,TX,78704,30.165611,-97.828382
200055958,ZEN 2 LTD.,5770 N Mopac Expy,Austin,TX,78731,30.279571,-97.736248
200161724,Lulu's Austin LLC,2425 Exposition Blvd,Austin,TX,78703,30.297464,-97.767146
200161724,"Luxx Austin, LLC",2425 Exposition Blvd,Austin,TX,78703,30.297464,-97.767146
200161724,Lynny's LLC,2425 Exposition Blvd,Austin,TX,78703,30.297464,-97.767146
200135387,AMERICAN NOUR INC.,10701 Menchaca Rd,Austin,TX,78748,30.163708,-97.829958
200161724,"Maaribu ATX Kitchen, LLC",2425 Exposition Blvd,Austin,TX,78703,30.297464,-97.767146
200161724,Machi Japan LLC,2425 Exposition Blvd,Austin,TX,78703,30.297464,-97.767146
200176564,MK CATERING LLC,539 W Oltorf St,Austin,TX,78704,30.241758,-97.759156
200129075,We Are Texan Business LLC,7900 N FM 620,Austin,TX,78726,30.337186,-97.75495
200176564,"Mala Fama Austin, LLC",539 W Oltorf St,Austin,TX,78704,30.241758,-97.759156
200176564,"MB Burnet, LLC",539 W Oltorf St,Austin,TX,78704,30.241758,-97.759156
200159982,CAN YOU FEEL THE LOVE TONIGHT LLC,710 W Cesar Chavez St,Austin,TX,78701,30.337186,-97.75495
200176564,"MAMM'S IMPORTERS, LLC",539 W Oltorf St,Austin,TX,78704,30.241758,-97.759156
200161724,Lamy-Manana LLC,2425 Exposition Blvd,Austin,TX,78703,30.297464,-97.767146
200144158,BARCHACA LLC,8218 BURNET Rd,AUSTIN,TX,78757,30.26613,-97.751785
200163381,Austin Manna Restaurant LLC,7001 Burnet Rd,Austin,TX,78757,30.337186,-97.75495
200099488,"Powder Room Gamma, LLC",12115 Manchaca Rd,Austin,TX,78748,30.141734,-97.832653
200099488,SRM Manor LLC,12115 Manchaca Rd,Austin,TX,78748,30.141734,-97.832653
200176564,MAK GOLDEN INC.,539 W Oltorf St,Austin,TX,78704,30.241758,-97.759156
200176564,Marfa Guys LLC,539 W Oltorf St,Austin,TX,78704,30.241758,-97.759156
200099488,SORTOS HOSPITALITY LLC,12115 Manchaca Rd,Austin,TX,78748,30.141734,-97.832653
200099488,PLAZA 3903 LLC,12115 Manchaca Rd,Austin,TX,78748,30.141734,-97.832653
200099488,"Palm Creek Liquor, LLC",12115 Manchaca Rd,Austin,TX,78748,30.141734,-97.832653
106862110,"A3 Enterprises, LLC",6700 MANOR RD,AUSTIN,TX,78723,30.337186,-97.75495
200099488,"Sortos Group Ten, LLC",12115 Manchaca Rd,Austin,TX,78748,30.141734,-97.832653
200176564,"Maven Austin, LLC",539 W Oltorf St,Austin,TX,78704,30.241758,-97.759156
200139103,DOMO LLC,1836 San Jacinto Blvd,Austin,TX,78701,30.165611,-97.828382
200176564,MEANWHILE BREWING COMPANY LLC,539 W Oltorf St,Austin,TX,78704,30.241758,-97.759156
200144158,BALAGERU LLC,8218 BURNET Rd,AUSTIN,TX,78757,30.26613,-97.751785
200176564,Mendocino Farms Texas LLC,539 W Oltorf St,Austin,TX,78704,30.241758,-97.759156
200139103,"Driftwood 1, L.L.C.",1836 San Jacinto Blvd,Austin,TX,78701,30.165611,-97.828382
200176564,Mesquite Corporation,539 W Oltorf St,Austin,TX,78704,30.241758,-97.759156
200099488,NIYYAH ZAIN LLC,12115 Manchaca Rd,Austin,TX,78748,30.141734,-97.832653
200176564,Mexican Sugar Domain LLC,539 W Oltorf St,Austin,TX,78704,30.241758,-97.759156
200176564,MEXTA LLC,539 W Oltorf St,Austin,TX,78704,30.241758,-97.759156
200164878,Adan's Mezcal & Sal LLC,12005 W Highway 290,Austin,TX,78737,30.210748,-97.968323
200077967,Alamo City Foods INC,717 King Edward Place,Austin,TX,78704,30.337186,-97.75495
200176564,Mi Lindo Michoacan Restaurant LLC,539 W Oltorf St,Austin,TX,78704,30.241758,-97.759156
200176564,MI PREFERIDA BAR LLC,539 W Oltorf St,Austin,TX,78704,30.241758,-97.759156
200139103,Elite 77 Inc,1836 San Jacinto Blvd,Austin,TX,78701,30.165611,-97.828382
200176564,Mi Reino Mexican Cuisine LLC,539 W Oltorf St,Austin,TX,78704,30.241758,-97.759156
200099488,North Lamar Partners LLC,12115 Manchaca Rd,Austin,TX,78748,30.141734,-97.832653
200176564,Mi Trailita Y Mas LLC,539 W Oltorf St,Austin,TX,78704,30.241758,-97.759156
200176564,MIAN & BAO LLC,539 W Oltorf St,Austin,TX,78704,30.241758,-97.759156
200176564,Michi Japanese Deli & Sushi Inc.,539 W Oltorf St,Austin,TX,78704,30.241758,-97.759156
200099488,"Rusty Mammoth, LLC ",12115 Manchaca Rd,Austin,TX,78748,30.141734,-97.832653
200153533,313 Midnight LP,9515 N Lamar Blvd,Austin,TX,78753,30.26613,-97.751785
200176564,"MIGHTY FINE ACQUISITION, LLC",539 W Oltorf St,Austin,TX,78704,30.241758,-97.759156
200099488,"Shivani Sunil Naik & Sons, Inc. ",12115 Manchaca Rd,Austin,TX,78748,30.141734,-97.832653
200099488,Raeon LLC,12115 Manchaca Rd,Austin,TX,78748,30.141734,-97.832653
200176564,"Modern Bar, LP",539 W Oltorf St,Austin,TX,78704,30.241758,-97.759156
200099488,ONION CREEK RETAIL LLC,12115 Manchaca Rd,Austin,TX,78748,30.141734,-97.832653
200176564,Moderna Uno LLC,539 W Oltorf St,Austin,TX,78704,30.241758,-97.759156
200176564,MOLA ATX LLC,539 W Oltorf St,Austin,TX,78704,30.241758,-97.759156
200176564,MOMS 10 ENTERPRISES LLC,539 W Oltorf St,Austin,TX,78704,30.241758,-97.759156
200176564,MONARCH EXPRESS FOOD MART INC.,539 W Oltorf St,Austin,TX,78704,30.241758,-97.759156
200139103,EMOS CONCESSION COMPANY LLC,1836 San Jacinto Blvd,Austin,TX,78701,30.165611,-97.828382
200099488,OVATIONS FOOD SERVICES OF TEXAS LLC,12115 Manchaca Rd,Austin,TX,78748,30.141734,-97.832653
200139103,Good Cider LLC,1836 San Jacinto Blvd,Austin,TX,78701,30.165611,-97.828382
200176564,Moreno BBQ LLC,539 W Oltorf St,Austin,TX,78704,30.241758,-97.759156
200176564,"Mort Subite, LLC",539 W Oltorf St,Austin,TX,78704,30.241758,-97.759156
200159982,Captain & Tennille LLC,710 W Cesar Chavez St,Austin,TX,78701,30.337186,-97.75495
200139103,El Taco Felix LLC,1836 San Jacinto Blvd,Austin,TX,78701,30.165611,-97.828382
200176564,MT SUPERMARKET LLC,539 W Oltorf St,Austin,TX,78704,30.241758,-97.759156
200176564,"Mum Foods, LLC",539 W Oltorf St,Austin,TX,78704,30.241758,-97.759156
200099488,OPEQA Business LLC,12115 Manchaca Rd,Austin,TX,78748,30.141734,-97.832653
200176564,Murray's Tavern Austin LLC ,539 W Oltorf St,Austin,TX,78704,30.241758,-97.759156
200176564,NABE SUSHI INC,539 W Oltorf St,Austin,TX,78704,30.241758,-97.759156
200144158,Burnish LLC,8218 BURNET Rd,AUSTIN,TX,78757,30.26613,-97.751785
200176564,Nando's Beverages LLC,539 W Oltorf St,Austin,TX,78704,30.241758,-97.759156
200176564,NASHA RESTAURANT INC.,539 W Oltorf St,Austin,TX,78704,30.241758,-97.759156
200129075,VCNFM OPERATING II LLC,7900 N FM 620,Austin,TX,78726,30.337186,-97.75495
200159982,"Danyan, Inc",710 W Cesar Chavez St,Austin,TX,78701,30.337186,-97.75495
200139103,Feel2Fill@620 LLC,1836 San Jacinto Blvd,Austin,TX,78701,30.165611,-97.828382
200099488,SSR LLC,12115 Manchaca Rd,Austin,TX,78748,30.141734,-97.832653
200159982,DHAKAL & SON LLC,710 W Cesar Chavez St,Austin,TX,78701,30.337186,-97.75495
200099488,"Nica On Fourth, LLC",12115 Manchaca Rd,Austin,TX,78748,30.141734,-97.832653
200161724,KIRAMEKI LLC,2425 Exposition Blvd,Austin,TX,78703,30.297464,-97.767146
200099488,NOMADE 1 LLC,12115 Manchaca Rd,Austin,TX,78748,30.141734,-97.832653
200099488,Nomadic Outpost LLC,12115 Manchaca Rd,Austin,TX,78748,30.141734,-97.832653
200099488,PLANTASTE DEVELOPMENT INC,12115 Manchaca Rd,Austin,TX,78748,30.141734,-97.832653
200139103,HIGHWAY FOOD MART INC.,1836 San Jacinto Blvd,Austin,TX,78701,30.165611,-97.828382
200159982,DIYA ENTERPRISES INCORPORATED,710 W Cesar Chavez St,Austin,TX,78701,30.337186,-97.75495
200082700,Airborne Liquor Company LLC,1506 S 1st St,Austin,TX,78704,30.165611,-97.828382
200099488,NOVA KITCHEN LLC,12115 Manchaca Rd,Austin,TX,78748,30.141734,-97.832653
